source_id,target_id,edge_type,data_source,confidence_score,evidence_count
GO:GO:0005634,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005635,GO:GO:0005634,go_term_part_of,GeneOntology,,0.0
GO:GO:0005635,GO:GO:0012505,go_term_part_of,GeneOntology,,0.0
GO:GO:0005635,GO:GO:0031967,go_term_is_a,GeneOntology,,0.0
GO:GO:0005654,GO:GO:0031981,go_term_part_of,GeneOntology,,0.0
GO:GO:0005654,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
GO:GO:0005667,GO:GO:0032991,go_term_is_a,GeneOntology,,0.0
GO:GO:0005694,GO:GO:0043232,go_term_is_a,GeneOntology,,0.0
GO:GO:0005737,GO:GO:0005622,go_term_part_of,GeneOntology,,0.0
GO:GO:0005737,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
GO:GO:0005739,GO:GO:0005737,go_term_part_of,GeneOntology,,0.0
GO:GO:0005739,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005764,GO:GO:0000323,go_term_is_a,GeneOntology,,0.0
GO:GO:0005768,GO:GO:0012505,go_term_part_of,GeneOntology,,0.0
GO:GO:0005768,GO:GO:0031410,go_term_is_a,GeneOntology,,0.0
GO:GO:0005770,GO:GO:0005768,go_term_is_a,GeneOntology,,0.0
GO:GO:0005773,GO:GO:0005737,go_term_part_of,GeneOntology,,0.0
GO:GO:0005773,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005783,GO:GO:0005737,go_term_part_of,GeneOntology,,0.0
GO:GO:0005783,GO:GO:0012505,go_term_part_of,GeneOntology,,0.0
GO:GO:0005783,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005788,GO:GO:0005783,go_term_part_of,GeneOntology,,0.0
GO:GO:0005788,GO:GO:0070013,go_term_is_a,GeneOntology,,0.0
GO:GO:0005789,GO:GO:0031090,go_term_is_a,GeneOntology,,0.0
GO:GO:0005789,GO:GO:0042175,go_term_part_of,GeneOntology,,0.0
GO:GO:0005789,GO:GO:0098827,go_term_part_of,GeneOntology,,0.0
GO:GO:0005793,GO:GO:0005737,go_term_part_of,GeneOntology,,0.0
GO:GO:0005793,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005794,GO:GO:0005737,go_term_part_of,GeneOntology,,0.0
GO:GO:0005794,GO:GO:0012505,go_term_part_of,GeneOntology,,0.0
GO:GO:0005794,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005796,GO:GO:0005794,go_term_part_of,GeneOntology,,0.0
GO:GO:0005796,GO:GO:0070013,go_term_is_a,GeneOntology,,0.0
GO:GO:0005801,GO:GO:0005794,go_term_part_of,GeneOntology,,0.0
GO:GO:0005801,GO:GO:0043231,go_term_is_a,GeneOntology,,0.0
GO:GO:0005829,GO:GO:0005737,go_term_part_of,GeneOntology,,0.0
GO:GO:0005829,GO:GO:0110165,go_term_is_a,GeneOntology,,0.0
GO:GO:0005886,GO:GO:0016020,go_term_is_a,GeneOntology,,0.0
GO:GO:0005886,GO:GO:0071944,go_term_part_of,GeneOntology,,0.0
GO:GO:0005899,GO:GO:0098802,go_term_is_a,GeneOntology,,0.0
GO:GO:0005899,GO:GO:1902911,go_term_is_a,GeneOntology,,0.0
GO:GO:0005901,GO:GO:0044853,go_term_is_a,GeneOntology,,0.0
GO:GO:0005903,GO:GO:0045177,go_term_part_of,GeneOntology,,0.0
GO:GO:0005903,GO:GO:0098862,go_term_is_a,GeneOntology,,0.0
GO:GO:0005911,GO:GO:0070161,go_term_is_a,GeneOntology,,0.0
GO:GO:0005929,GO:GO:0043227,go_term_is_a,GeneOntology,,0.0
GO:GO:0005929,GO:GO:0120025,go_term_is_a,GeneOntology,,0.0
GO:GO:0005942,GO:GO:0019898,go_term_part_of,GeneOntology,,0.0
GO:GO:0005942,GO:GO:0061695,go_term_is_a,GeneOntology,,0.0
GO:GO:0005942,GO:GO:0098796,go_term_is_a,GeneOntology,,0.0
GO:GO:0005943,GO:GO:0097651,go_term_is_a,GeneOntology,,0.0
GO:GO:0005975,GO:GO:0044238,go_term_is_a,GeneOntology,,0.0
GO:GO:0005979,GO:GO:0010962,go_term_is_a,GeneOntology,,0.0
GO:GO:0005979,GO:GO:0070873,go_term_is_a,GeneOntology,,0.0
GO:GO:0005981,GO:GO:0043470,go_term_is_a,GeneOntology,,0.0
GO:GO:0005981,GO:GO:0070873,go_term_is_a,GeneOntology,,0.0
GO:GO:0005996,GO:GO:0005975,go_term_is_a,GeneOntology,,0.0
